ERCC_ID	expected fold-change ratio	FC_Trim_Rn4	FC_Untrim_Rn4	FC_Trim_Rn6	FC_Untrim_Rn6
ERCC-00002	0.5	1.57297261612599	1.59983626171469	1.57449961336023	1.59701343446348
ERCC-00003	0.5	1.53452504634228	1.58241375009616	1.53660463531132	1.580018669076
ERCC-00004	4	2.19740584967303	2.23987989181984	2.19983565679028	2.23640310669779
ERCC-00009	1	1.72132778474779	1.77744958981275	1.72405582379382	1.77462315354668
ERCC-00012	0.67	2.39735672637785	1.99317592162906	2.37974918237298	2.01014464739675
ERCC-00013	0.5	1.6049465667352	1.78986958891313	1.40269370307836	1.78685207431912
ERCC-00014	0.5	-1.26658113687595	-1.2041188042763	-1.29596912144921	-1.23597915050339
ERCC-00016	0.67	1.47835792987859	1.00642359036112	1.21307578594557	1.01182450761348
ERCC-00017	4	-3.40177488845296	-2.38208574623976	-3.42694481679628	-2.42694651844153
ERCC-00019	4	1.99675089494339	2.25707426309768	1.99608953347177	2.25337805747255
ERCC-00022	0.5	1.64732915036785	1.70337198017102	1.64963487841047	1.7005184748219
ERCC-00024	0.67	-2.53947059707962	-1.73655641657338	-2.55919315812803	-1.76917001051362
ERCC-00025	1	2.01743212091628	2.13732655825218	2.01807517339045	2.13351867571826
ERCC-00028	4	1.37299619934603	1.52470167605037	1.43198691974923	1.52205365593819
ERCC-00031	1	1.49733679991686	2.40968460897946	1.89712794811556	2.4054972990025
ERCC-00033	4	1.49359660129203	1.66400159355815	1.47891374440361	1.66103846273787
ERCC-00034	1	1.58530703622114	1.61775279345987	1.61862207298728	1.61496537271424
ERCC-00035	1	2.0475122399955	2.10512737467718	2.04954608356724	2.10147492847081
ERCC-00039	0.67	1.78239239425494	1.7669081905898	1.77520059216913	1.76395822533481
ERCC-00040	0.67	3.29582635222618	-1.50333773481782	2.83384649823123	-1.54242114310311
ERCC-00041	0.5	3.65785740472542	2.99637212252702	3.72101169111278	3.04750646691938
ERCC-00042	1	1.85391266371532	1.89263324240717	1.85541547312728	1.88937447621567
ERCC-00043	0.5	1.48457899478775	1.52626035320971	1.48578632987166	1.52377422074462
